,Unnamed: 0,id,text,month,year,Vehicle models,standard models
0,0,1,It was about new vehicle,Aug,2024,,
1,1,2,Yes I have seen commercials for ford,Aug,2024,,
2,2,3,buy a ford product,Aug,2024,,
3,3,4,largest employer in usa,Aug,2024,,
4,4,5,Fords recall of F-150 vehicles,Aug,2024,F-150,F-150
5,5,6,There are sales.,Aug,2024,,
6,6,7,New cars,Aug,2024,,
7,7,8,NONE,Aug,2024,,
8,8,9,Advertising for Ford,Aug,2024,,
9,9,10,That there was a recall,Aug,2024,,
10,10,11,Building new battery plant in Kentucky,Aug,2024,,
11,11,12,Ford motor company invent a enviroment friendly  new car,Aug,2024,,
12,12,13,size and suspension,Aug,2024,,
13,13,14,That theynare makimg a new hesvy duty truck,Aug,2024,,
14,14,15,stock performance,Aug,2024,,
15,15,16,Truck on sale,Aug,2024,,
16,16,17,Don’t know,Aug,2024,,
17,17,18,Nothing,Aug,2024,,
18,18,19,Ford mustang ev version,Aug,2024,Ford mustang,Mustang
19,19,20,We like ford all american company,Aug,2024,,
20,20,21,About the mustang ev,Aug,2024,mustang,Mustang
21,21,22,A recall on pickup truck F150,Aug,2024,F150,F-150
22,22,23,No,Aug,2024,,
23,23,24,Promoting sales on products,Aug,2024,,
24,24,25,A sponser of the olympics,Aug,2024,,
25,25,26,Innovative technologies included in the latest vehicles,Aug,2024,,
26,26,27,They are venturing into EVs,Aug,2024,,
27,27,28,sales stable,Aug,2024,,
28,28,29,About the new electric cars,Aug,2024,,
29,29,30,Going electric,Aug,2024,,
30,30,31,Selling pick up trucks,Aug,2024,,
31,31,32,New cars coming,Aug,2024,,
32,32,33,The 2025 Ford  Raptor,Aug,2024,2025 Ford  Raptor,Raptor
33,33,34,There’s a new model of truck,Aug,2024,,
34,34,35,They close down one is there ev plants cant sell the trucks,Aug,2024,,
35,35,36,Lower production of EVs,Aug,2024,,
36,36,37,I cant remember,Aug,2024,,
37,37,38,The 2025 models coming out,Aug,2024,,
38,38,39,Was about the quality of the product,Aug,2024,,
39,39,40,Data breaches/Selling data to insurance companies/Traffic incidents,Aug,2024,,
40,40,41,Don’t remember,Aug,2024,,
41,41,42,It was a commercial I seen on TV,Aug,2024,,
42,42,43,new ev cars and trucks,Aug,2024,,
43,43,44,It was about new Ford products,Aug,2024,,
44,44,45,It was launching new services in its dealership’s.,Aug,2024,,
45,45,46,Commercial about new vehicles,Aug,2024,,
46,46,47,Commercial,Aug,2024,,
47,47,48,It is very high quality and unique,Aug,2024,,
48,48,49,The new F250 trucks and what is changing in current year,Aug,2024,F250,F-250
49,49,50,I saw an ad that they’re now making a New England specific truck model,Aug,2024,,
50,50,51,I heard very good new and upgrade,Aug,2024,,
51,51,52,New developments,Aug,2024,,
52,52,53,A commercial for one of their trucks,Aug,2024,,
53,53,54,Recalls for air bag,Aug,2024,,
54,54,55,It was a recall about a certain model that was not safe for consumers.,Aug,2024,,
55,55,56,That they are continuing building performance cars,Aug,2024,,
56,56,57,Na,Aug,2024,,
57,57,58,ProMotion,Aug,2024,,
58,58,59,Ford trucks and how they run off roads,Aug,2024,,
59,59,60,Tv commercials,Aug,2024,,
60,60,61,New cars,Aug,2024,,
61,61,62,They have a new truck out,Aug,2024,,
62,62,63,Has modern technology wifi capabilities going green,Aug,2024,,
63,63,64,They have a recall,Aug,2024,,
64,64,65,I like the new services and products,Aug,2024,,
65,65,66,The ad was about ford suv,Aug,2024,,
66,66,67,no,Aug,2024,,
67,67,68,Anything,Aug,2024,,
68,68,69,both really,Aug,2024,,
69,69,70,Positive and opinions,Aug,2024,,
70,70,71,How many worker employed,Aug,2024,,
71,71,72,I’m not going back to the gym now I’m just getting back in my room and I’m not sure if I’m not gonna go back in time for the rest of the,Aug,2024,,
72,72,73,Commercial. Tough cars,Aug,2024,,
73,73,74,About the different low prices on there trucks and cars,Aug,2024,,
74,74,75,I dont recall,Aug,2024,,
75,75,76,They are doing what they can to help the environment,Aug,2024,,
76,76,77,Don’t remember,Aug,2024,,
77,77,78,N e electric trucks,Aug,2024,,
78,78,79,I think its a really good thing so I wash it again,Aug,2024,,
79,79,80,New trucks,Aug,2024,,
80,80,81,Commercials on TV,Aug,2024,,
81,81,82,The only way I could do that was if,Aug,2024,,
82,82,83,I read about their vehicles,Aug,2024,,
83,83,84,There was saying that they might lay off people because of the slow production because are not buying electric cars made from Ford Motors.,Aug,2024,,
84,84,85,Built Ford Tough,Aug,2024,,
85,85,86,Mostly new ads,Aug,2024,,
86,86,87,That they are making electric vehicles,Aug,2024,,
87,87,88,Ford cars focusing on the environment,Aug,2024,,
88,88,89,It was on tv showing newest trucks on sale.,Aug,2024,,
89,89,90,TV ad,Aug,2024,,
90,90,91,Good news,Aug,2024,,
91,91,92,How its coming out with its new hybrid.,Aug,2024,,
92,92,93,i saw an advertizement on tv.,Aug,2024,,
93,93,94,great innovation,Aug,2024,,
94,94,95,It was an advertisement for new fords,Aug,2024,,
95,95,96,positive news,Aug,2024,,
96,96,97,It was all cool to me,Aug,2024,,
97,97,98,Plants moving to Mexico,Aug,2024,,
98,98,99,They are a good brand,Aug,2024,,
99,99,100,Coming out with th the all electric lightning truck.,Aug,2024,lightning,Lightning
100,100,101,cant remember it off the top of my head.,Aug,2024,,
101,101,102,Great prices n sales to match ur needs,Aug,2024,,
102,102,103,Ford ad,Aug,2024,,
103,103,104,The new Mustang,Aug,2024,Mustang,Mustang
104,104,105,It the new features,Aug,2024,,
105,105,106,I saw an ad on TV,Aug,2024,,
106,106,107,The three versions of the pick up regular hybrid or electric,Aug,2024,,
107,107,108,President visiting,Aug,2024,,
108,108,109,No specifics,Aug,2024,,
109,109,110,How they are going to make new vehicles,Aug,2024,,
110,110,111,It was an add to sell the product,Aug,2024,,
111,111,112,It was a very positive story,Aug,2024,,
112,112,113,I own a dissel 3500 truck love it I can put work to it and it still good,Aug,2024,3500,F-350
113,113,114,They have good cars,Aug,2024,,
114,114,115,Commercials,Aug,2024,,
115,115,116,about their new EV trucks,Aug,2024,,
116,116,117,Recall issues,Aug,2024,,
117,117,118,Just showing Fords Bronco,Aug,2024,Bronco,Bronco
118,118,119,I’m going to go ahead with that one and get,Aug,2024,,
119,119,120,Can’t remember,Aug,2024,,
120,120,121,they are a leader in ev technology,Aug,2024,,
121,121,122,Jst cmmercials gor f159 serues,Aug,2024,,
122,122,123,Advertising the New ford fi50,Aug,2024,,
123,123,124,It’s different,Aug,2024,,
124,124,125,Reliability,Aug,2024,,
125,125,126,typical advertisement,Aug,2024,,
126,126,127,safer trucks to drive more fuel efficient,Aug,2024,,
127,127,128,New cars coming out,Aug,2024,,
128,128,129,The success of the company and how it’s making money and its employees are doing well.,Aug,2024,,
129,129,130,Reliable,Aug,2024,,
130,130,131,New vehicles in the works,Aug,2024,,
131,131,132,That they are recalling a few different vehicles,Aug,2024,,
132,132,133,New vehicle,Aug,2024,,
133,133,134,Ford hiring new Car Dealers,Aug,2024,,
134,134,135,Recalls on trucks,Aug,2024,,
135,135,136,Its the best car company,Aug,2024,,
136,136,137,New caes,Aug,2024,,
137,137,138,The deals on their cars,Aug,2024,,
138,138,139,Yes it was a positive review,Aug,2024,,
139,139,140,It was Bout the success of the company as whole.,Aug,2024,,
140,140,141,Positive feedback,Aug,2024,,
141,141,142,,Aug,2024,,
142,142,143,New ford 2025,Aug,2024,,
143,143,144,Reliable service,Aug,2024,,
144,144,145,"No, sorry",Aug,2024,,
145,145,146,Switching to eletric,Aug,2024,,
146,146,147,Recall,Aug,2024,,
147,147,148,it was a positive news story,Aug,2024,,
148,148,149,New electric bike,Aug,2024,,
149,149,150,"Ford issued a Do-No-Drive advisory for over 700,000 of their vehicles.",Aug,2024,,
150,150,151,Just explaining that their brand is still there and has been standing for however many years theyve been,Aug,2024,,
151,151,152,The cars and trucks are reliable,Aug,2024,,
152,152,153,car crash,Aug,2024,,
153,153,154,something about them being dropped or other company dropped them but idc I like ford,Aug,2024,,
154,154,155,Stock prices drop,Aug,2024,,
155,155,156,The EV battery plants being behind schedule and SUVs not selling well,Aug,2024,,
156,156,157,Showing the up and coming off their new vehicles,Aug,2024,,
157,157,158,,Aug,2024,,
158,158,159,It was just an ad about ford selling their cars.,Aug,2024,,
159,159,160,No,Aug,2024,,
160,160,161,Was an ad of some pick up truck,Aug,2024,,
161,161,162,They were working on coming out with EV cars,Aug,2024,,
162,162,163,Dont know,Aug,2024,,
163,163,164,It was a recall on the new Ford Bronco,Aug,2024,Ford Bronco,Bronco
164,164,165,They are make millions of jobs for people,Aug,2024,,
165,165,166,"A person asked a mobile mechanic to look at their car, to determine if it was feasible to repair. The person was on a limited budget, and needed the car to be able to go to work. The mobile mechanic told the person after checking the vehicle that it was going to be extremely expensive and time consuming to fix, and they would be better served to get something else. Person was very upset and told the mechanic it wasnt possible with the limited income and the fact that they had been living in the vehicle. The mobile mechanic went to a local Ford dealership and bought that person a newer previously owned vehicle. Drove it to the spot where they had left the person and handed them the keys.   But it was going to",Aug,2024,,
166,166,167,Ford mustang,Aug,2024,Ford mustang,Mustang
167,167,168,New vehicles,Aug,2024,,
168,168,169,Ellectric card,Aug,2024,,
169,169,170,Gone woke and people are not happy with that. Many recalls in older models for air bags exploding. Quality and safety lowered while prices are way up,Aug,2024,,
170,170,171,A commercial about the Lincoln Navigator,Aug,2024,Lincoln Navigator,Lincoln
171,171,172,I have seen none,Aug,2024,,
172,172,173,better vehicle,Aug,2024,,
173,173,174,ford on th rise,Aug,2024,,
174,174,175,New cars available for purchase,Aug,2024,,
175,175,176,television ad,Aug,2024,,
176,176,177,Their latest products with unique features,Aug,2024,,
177,177,178,Mustang automobiles. I owned a Mustang. When I see an ad I pay attention,Aug,2024,"Mustang.,Mustang","Mustang,Mustang"
178,178,179,I saw many favorite story,Aug,2024,,
179,179,180,That the new CEO was going to announce some new autos that will be rolling out for the coming year,Aug,2024,,
180,180,181,"Air bags are not releading on high inpact, the say dont drive the car",Aug,2024,,
181,181,182,The new environment lineup coming out,Aug,2024,,
182,182,183,That its built Ford tough,Aug,2024,,
183,183,184,That they have good vehicles,Aug,2024,,
184,184,185,New vehicle,Aug,2024,,
185,185,186,"I recall news stories about Ford Motor Company focusing on their shift towards electric vehicles, unveiling new models like the F-150 Lightning, and initiatives to enhance sustainability and innovation in their manufacturing processes.",Aug,2024,F-150 Lightning,Lightning
186,186,187,The only reason we got this was the first,Aug,2024,,
187,187,188,Ford motor company had a poor earning report and is losing more.,Aug,2024,,
188,188,189,some new vehicle information,Aug,2024,,
189,189,190,Drive thru rough terrain reliable,Aug,2024,,
190,190,191,that ford is number one,Aug,2024,,
191,191,192,On social media,Aug,2024,,
192,192,193,Turning out electric cars,Aug,2024,,
193,193,194,best service,Aug,2024,,
194,194,195,It was nice,Aug,2024,,
195,195,196,they introduce many new idea for new product,Aug,2024,,
196,196,197,Bulit Ford Tough,Aug,2024,,
197,197,198,they were cutting back at one of the plants,Aug,2024,,
198,198,199,Tv,Aug,2024,,
199,199,200,its overstock of electric vehicles and chip shortages,Aug,2024,,
200,200,201,Duct judicial brush duff Gucci bf f cert veggie cush sky,Aug,2024,Gucci,Focus
201,201,202,That they are coming out with a cobra F150,Aug,2024,cobra F150,F-150
202,202,203,the was an airbag recall for hundreds of thousands of vehicles.,Aug,2024,,
203,203,204,Advertising trucks,Aug,2024,,
204,204,205,That their electric trucks are not selling well,Aug,2024,,
205,205,206,Most of their cars are not made in the USA,Aug,2024,,
206,206,207,That Ford will start making lower cost EVs in order to appeal to a broader customer base.,Aug,2024,,
207,207,208,Nothing,Aug,2024,,
208,208,209,adding new lines to there pickup factories,Aug,2024,,
209,209,210,Earnings reported,Aug,2024,,
210,210,211,Ford recalls vehicles because of steering issues,Aug,2024,,
211,211,212,An advertisement for Ford Trucks on TV,Aug,2024,,
212,212,213,Electric vehicles are constantly improving,Aug,2024,,
213,213,214,Building more electrical cars,Aug,2024,,
214,214,215,They have announced a recall due to airbags also their not selling many new cars,Aug,2024,,
215,215,216,I vaguely recall them demonstrating a new truck with better safety features.,Aug,2024,,
216,216,217,Recalls,Aug,2024,,
217,217,218,They had many recalls and quality control issues,Aug,2024,,
218,218,219,A recall of cars with certain types of air bags.,Aug,2024,,
219,219,220,multi-billion dollar losses in its EV program have resulted in reductions in that program with some increased spending to expand its gasoline and hybrid vehicle program,Aug,2024,,
220,220,221,They were discussing the issue related to electric cars,Aug,2024,,
221,221,222,TATA airbags ford has issued a do not drive,Aug,2024,,
222,222,223,Issues with the air bags,Aug,2024,,
223,223,224,ads on tv for f150,Aug,2024,f150,F-150
224,224,225,Towing power,Aug,2024,,
225,225,226,They are making EVs,Aug,2024,,
226,226,227,It said Ford was doing really good and they are up 3%.,Aug,2024,,
227,227,228,corrupt idk,Aug,2024,,
228,228,229,The new Ford EV and hybrid cars that are being sold at dealerships.,Aug,2024,,
229,229,230,Lessening EV and hybrid production in favor of gas guzzlers,Aug,2024,,
230,230,231,Their new F150,Aug,2024,F150,F-150
231,231,232,Ad for financing at 0% for 3 of their vehicles,Aug,2024,,
232,232,233,"Ford trucks, having problems. Don’t remember details",Aug,2024,,
233,233,234,"A recall, The doors on the car might mass up and to make an appointment to get it fixed",Aug,2024,,
234,234,235,I heard about wage increase for its employees.,Aug,2024,,
235,235,236,Changing production away from electric trucks to make more gas powered trucks,Aug,2024,,
236,236,237,Because It is nice and I like it.,Aug,2024,,
237,237,238,They aren’t making anything but teucjs,Aug,2024,,
238,238,239,They are donating,Aug,2024,,
239,239,240,Newer vehicles,Aug,2024,,
240,240,241,It’s nice and amazing,Aug,2024,,
241,241,242,about hiring more workers,Aug,2024,,
242,242,243,getting people to buy their cars.,Aug,2024,,
243,243,244,Great quality,Aug,2024,,
244,244,245,Cutting jobs for America workers.,Aug,2024,,
245,245,246,I love everything about it,Aug,2024,,
246,246,247,They issued a ‘do not drive’ warning for many vehicles,Aug,2024,,
247,247,248,The new vehicles,Aug,2024,,
248,248,249,Ford issued a do not drive on cars with Tamara airbags,Aug,2024,,
249,249,250,recall,Aug,2024,,
250,250,251,i read an article about their electric/hybrid vehicles,Aug,2024,,
251,251,252,Yes it was an article I came across online,Aug,2024,,
252,252,253,,Aug,2024,,
253,253,254,Stock price drop,Aug,2024,,
254,254,255,It was describing how ford was built tough,Aug,2024,,
255,255,256,Dont know,Aug,2024,,
256,256,257,More environmental friendly,Aug,2024,,
257,257,258,I heard that people arent buying the new EVs they have built & recall on some vehicles,Aug,2024,,
258,258,259,I dont remember what it was about,Aug,2024,,
259,259,260,I heard about Ford new innovation and the Ford new electric truck.,Aug,2024,,
260,260,261,Driving a ford,Aug,2024,,
261,261,262,New seriee,Aug,2024,,
262,262,263,Nothing comes to mind,Aug,2024,,
263,263,264,About newly 2025 vehicles being made and cutting back on pollution,Aug,2024,,
264,264,265,Dont remember,Aug,2024,,
265,265,266,Everything,Aug,2024,,
266,266,267,Showing the current financing deal on lease,Aug,2024,,
267,267,268,Just a news story about a affordable electric vehicle,Aug,2024,,
268,268,269,I read how Ford is contributing the most they can to society through bad inflation times.,Aug,2024,,
269,269,270,150 trucks,Aug,2024,,
270,270,271,"it was basically, advertising.",Aug,2024,,
271,271,272,All the time,Aug,2024,,
272,272,273,Best company in the country,Aug,2024,,
273,273,274,I can’t recall,Aug,2024,,
274,274,275,tv f 150,Aug,2024,,
275,275,276,Nothing really interesting,Aug,2024,,
276,276,277,F-150 is still the best selling truck,Aug,2024,F-150,F-150
277,277,278,About the efficiency from each of these models,Aug,2024,,
278,278,279,strong running vehicle,Aug,2024,,
279,279,280,The new Maverick truck,Aug,2024,Maverick,Maverick
280,280,281,f150 truck is leader in its field.,Aug,2024,f150,F-150
281,281,282,Production schedule models,Aug,2024,,
282,282,283,Cannot remember,Aug,2024,,
283,283,284,The story was that they were announcing the new Ford Explorer,Aug,2024,Ford Explorer,Explorer
284,284,285,It was about how the Biden Administration had caused Ford to lose over 4 billion dollars.,Aug,2024,,
285,285,286,Just thier general  earning,Aug,2024,,
286,286,287,Investors in the Ford Motor Company are trying to contact lawyers before early October to discuss their rights.,Aug,2024,,
287,287,288,About the latest vehicle with great technological advancements,Aug,2024,,
288,288,289,,Aug,2024,,
289,289,290,very well,Aug,2024,,
290,290,291,Trustworthy and realizable with quality service and unique value,Aug,2024,,
291,291,292,Trusted Company,Aug,2024,,
292,292,293,The overall quality is great,Aug,2024,,
293,293,294,Just commercials,Aug,2024,,
294,294,295,Good,Aug,2024,,
295,295,296,Their new EV vehicles,Aug,2024,,
296,296,297,They are a leading,Aug,2024,,
297,297,298,they have a new line of vehicles,Aug,2024,,
298,298,299,The product and how it performed,Aug,2024,,
299,299,300,How they were done making cars,Aug,2024,,
300,300,301,There was a delay in Ford building an EV battery plant in Kentucky,Aug,2024,,
301,301,302,Commercial ads on TV showing the lates vehicles with their features and powertrains.,Aug,2024,,
302,302,303,Ford is working on 0 emmissions by 2052,Aug,2024,,
303,303,304,The new vehicles that are available this year.,Aug,2024,,
304,304,305,Ive heard about new vehicles available and the summer sales event through TV advertising,Aug,2024,,
305,305,306,Its all positive. I love the Ford motor Company,Aug,2024,,
306,306,307,they are labor rich,Aug,2024,,
307,307,308,That Ford was beginning to do new things but also have a major recall on their cars.,Aug,2024,,
308,308,309,Recalls,Aug,2024,,
309,309,310,Products,Aug,2024,,
310,310,311,New cars coming out,Aug,2024,,
311,311,312,New truck,Aug,2024,,
312,312,313,The news is that Ford has reduced producation of the F-150 lighting electric pickup truck.,Aug,2024,F-150,F-150
313,313,314,Ad for a truck,Aug,2024,,
314,314,315,Ford is doing better,Aug,2024,,
315,315,316,no sorry,Aug,2024,,
316,316,317,Power of the trucks,Aug,2024,,
317,317,318,Laying off and closing some businesses,Aug,2024,,
318,318,319,Air bag recall,Aug,2024,,
319,319,320,Electric vehicles were to expensive to produce and sell,Aug,2024,,
320,320,321,It was about new products.,Aug,2024,,
321,321,322,Story was anout delaying EV commitments,Aug,2024,,
322,322,323,Advertising for their products,Aug,2024,,
323,323,324,that they are trying to have an all-electric fleet by 2030,Aug,2024,,
324,324,325,a recall,Aug,2024,,
325,325,326,Where Ford and Mazda has issued do-not-drive warnings for vehicles with takata airbags,Aug,2024,,
326,326,327,Was about the new model F150 coming out on how great it is.,Aug,2024,F150,F-150
327,327,328,The new mustang,Aug,2024,mustang,Mustang
328,328,329,New Ford trucks,Aug,2024,,
329,329,330,New vehicles,Aug,2024,,
330,330,331,I dont remember,Aug,2024,,
331,331,332,Just having new cars out,Aug,2024,,
332,332,333,They are a great american company that is popular.,Aug,2024,,
333,333,334,It was a recall notice on the news,Aug,2024,,
334,334,335,recall,Aug,2024,,
335,335,336,How they are having engine problems,Aug,2024,,
336,336,337,They run only on regular gasoline,Aug,2024,,
337,337,338,Nothing about that you got to get back,Aug,2024,,
338,338,339,It was a documetary.,Aug,2024,,
339,339,340,I believe that the stock was headed towards a level decline.,Aug,2024,,
340,340,341,New cars and motors,Aug,2024,,
341,341,342,The new dark house being promoted rn,Aug,2024,,
342,342,343,Trucks,Aug,2024,,
343,343,344,New technology on cars,Aug,2024,,
344,344,345,A commercial,Aug,2024,,
345,345,346,It was about their line of trucks,Aug,2024,,
346,346,347,closing factory in Michigan,Aug,2024,,
347,347,348,Nothing,Aug,2024,,
348,348,349,"Not good, problem to produce ev cars",Aug,2024,,
349,349,350,I saw suv moving with full speed in a forest,Aug,2024,,
350,350,351,They update the cars,Aug,2024,,
351,351,352,How reliable their new cars versus old models are.,Aug,2024,,
352,352,353,,Aug,2024,,
353,353,354,Brand new vehicles,Aug,2024,,
354,354,355,Nothing new,Aug,2024,,
355,355,356,quality service,Aug,2024,,
356,356,357,I heard about the new Coyote engine.,Aug,2024,Coyote,Focus
357,357,358,I was just reading up on the history of Ford and how it’s one of America’s top automotive companies,Aug,2024,,
358,358,359,It was just a commercial,Aug,2024,,
359,359,360,I read that kia is going to produce new SUV,Aug,2024,,
360,360,361,New cars that they are coming up with that’s what inheard,Aug,2024,,
361,361,362,Ford new mustang that is all ev as well as other models going ev soon,Aug,2024,mustang,Mustang
362,362,363,Yes,Aug,2024,,
363,363,364,The are trying to full electric,Aug,2024,,
364,364,365,I heard that they are creating a brand new vehicle that will change cars forever,Aug,2024,,
365,365,366,Because i love it,Aug,2024,,
366,366,367,Commercial,Aug,2024,,
367,367,368,Well because its a reliable company and its a good way to help improve your vehicle.,Aug,2024,,
368,368,369,The maverick,Aug,2024,maverick,Maverick
369,369,370,In an article published about Henry Ford,Aug,2024,,
370,370,371,Good cars,Aug,2024,,
371,371,372,"i enjoyed this a  lot,.",Aug,2024,,
372,372,373,"I saw an ad during a televised sport game.  I do not remember much of it, but I remember the logo.",Aug,2024,,
373,373,374,major air bag recall told drivers not to use their vehicles,Aug,2024,,
374,374,375,The new vehicles theyre making,Aug,2024,,
375,375,376,About ford maverick,Aug,2024,ford maverick,Maverick
376,376,377,The news story was about Ford Motor Company introducing new vehicles.,Aug,2024,,
377,377,378,About easier in gas,Aug,2024,,
378,378,379,Recalls,Aug,2024,,
379,379,380,It was a story about some of the workers wanting to start a union,Aug,2024,,
380,380,381,Ford strike is over and negotiations ended,Aug,2024,,
381,381,382,Several commercials.,Aug,2024,,
382,382,383,New EV plant,Aug,2024,,
383,383,384,that the motor of ford territory are chinese and all the old models had problems with the direction,Aug,2024,,
384,384,385,No,Aug,2024,,
385,385,386,New electric Ford,Aug,2024,,
386,386,387,How ford is built to last,Aug,2024,,
387,387,388,I saw a television advertisement showing trucks in the wilderness.,Aug,2024,,
388,388,389,Good vehicle,Aug,2024,,
389,389,390,no,Aug,2024,,
390,390,391,There new trucks,Aug,2024,,
391,391,392,New vehicles,Aug,2024,,
392,392,393,How they plan on making a electric car one day,Aug,2024,,
393,393,394,About trying to make their vehicles safer for the American consumer,Aug,2024,,
394,394,395,That it is striving for excellence,Aug,2024,,
395,395,396,About there new evs,Aug,2024,,
396,396,397,I read about Ford mustangs,Aug,2024,Ford mustangs,Mustang
397,397,398,Tecnología,Aug,2024,,
398,398,399,new truck,Aug,2024,,
399,399,400,Nothing important,Aug,2024,,
400,400,401,,Aug,2024,,
401,401,402,I am feeling good.,Aug,2024,,
402,402,403,A quick advertisement for a newer model for sale,Aug,2024,,
403,403,404,About new cars there making,Aug,2024,,
404,404,405,Google,Aug,2024,,
405,405,406,Ford commercial  always pops up as a youtube add,Aug,2024,,
406,406,407,Because i seen dealership,Aug,2024,,
407,407,408,A loving story of a man helping a woman out with his ford f150 anf got her unstuck,Aug,2024,ford f150,F-150
408,408,409,New cars being released in 2025,Aug,2024,,
409,409,410,New car,Aug,2024,,
410,410,411,The overall quality is great,Aug,2024,,
411,411,412,New truck about to be released,Aug,2024,,
412,412,413,about a new truck being relesed,Aug,2024,,
413,413,414,Goid news.,Aug,2024,,
414,414,415,advertising about the new teritory walk,Aug,2024,,
415,415,416,An article explaining new safety measures they incorporated into their vehicles that prevent car thefts. I forget the technology but it intrigued me as I spoke with friends who had their vehicles stolen some days prior.,Aug,2024,,
416,416,417,Just an ad,Aug,2024,,
417,417,418,They are having major deals on cars,Aug,2024,,
418,418,419,I don’t remember,Aug,2024,,
419,419,420,"Theyre losing much money on EVs, and have had many problems with expensive recalls.",Aug,2024,,
420,420,421,About a sale on all their new EV’s.,Aug,2024,,
421,421,422,That they were trying to change certain aspects of the company to make it more efficient.,Aug,2024,,
422,422,423,The new square body design on the aluminum body design on the truck series.,Aug,2024,,
423,423,424,Advertising new trucks,Aug,2024,,
424,424,425,Ads,Aug,2024,,
425,425,426,They are coming out with electric car,Aug,2024,,
426,426,427,Their expanding,Aug,2024,,
427,427,428,it was an advertisement for their e-truck,Aug,2024,,
428,428,429,Yes very good its very like,Aug,2024,,
429,429,430,Something about recalls on air bags,Aug,2024,,
430,430,431,"Newest car, driving in snowy terrain.",Aug,2024,,
431,431,432,very well,Aug,2024,,
432,432,433,No,Aug,2024,,
433,433,434,It was about their end of sale,Aug,2024,,
434,434,435,A new bronco,Aug,2024,bronco,Bronco
435,435,436,It is very unique,Aug,2024,,
436,436,437,I dont think they put the money on the phone with these,Aug,2024,,
437,437,438,Airbag recall,Aug,2024,,
438,438,439,I read that Lincoln was a reliable vehicle.,Aug,2024,,
439,439,440,They bought the factory,Aug,2024,,
440,440,441,Selection of new model vehicles,Aug,2024,,
441,441,442,That they are top lead car company,Aug,2024,,
442,442,443,I heard ford is rolling out a new line of more affordable vehicles for damilies,Aug,2024,,
443,443,444,I heard that the creator is racist,Aug,2024,,
444,444,445,It’s about the new features in the new models,Aug,2024,,
445,445,446,There newest Sedan that is coming out,Aug,2024,,
446,446,447,Ford is required by federal law to make more electric vehicles.,Aug,2024,,
447,447,448,they are hiring more people,Aug,2024,,
448,448,449,Very reliable,Aug,2024,,
449,449,450,Nothing comes to mind,Aug,2024,,
450,450,451,Don’t remember,Aug,2024,,
451,451,452,just they are doing good.,Aug,2024,,
452,452,453,It good,Aug,2024,,
453,453,454,That the technology is approving,Aug,2024,,
454,454,455,Nascar,Aug,2024,,
455,455,456,It was about how good it was and their newest vehicle,Aug,2024,,
456,456,457,"Ford is creating a new vehicle designed for law enforcement, coming out in 2025.",Aug,2024,,
457,457,458,New truck,Aug,2024,,
458,458,459,"No, i dont remember",Aug,2024,,
459,459,460,Upcoming new vehicles,Aug,2024,,
460,460,461,the only way i could be happy with the fact i can be a good friend is,Aug,2024,,
461,461,462,The accurate of the company,Aug,2024,,
462,462,463,I have read Ford is opening new factories.,Aug,2024,,
463,463,464,Broadcst TV,Aug,2024,,
464,464,465,Recalls,Aug,2024,,
465,465,466,"Safety, technology, durability",Aug,2024,,
466,466,467,About their new lineup of vehicles that is coming out,Aug,2024,,
467,467,468,that it was exapanding,Aug,2024,,
468,468,469,It has a good fit for motor that make a good fit because it ba sa good fit to make an s good offers to use their services to fit,Aug,2024,,
469,469,470,Great,Aug,2024,,
470,470,471,No trucks out,Aug,2024,,
471,471,472,Something about a union,Aug,2024,,
